Day,Reef,Depth,Salinity,TSS,Temp,DO
6,12,3.14960315,16.86222662,5,2.844972051,13.21482147
6,13,3.249615362,17.56327418,6.564327677,3.240407838,12.38651008
6,14,6.557737295,16.83090483,5,2.854030393,13.16893892
6,15,6.565474247,17.12589456,5.567717012,3.067502846,12.48072236
6,16,7.938506519,17.05398405,5.567717012,2.841890561,12.48747941
6,17,7.49504095,16.39094499,5.567717012,3.247698336,12.23316313
6,18,6.922046247,16.42306862,5.567717012,3.450795869,12.09127494
6,19,6.458686625,16.48268493,5.567717012,3.71518631,11.92382149
6,20,7.429508732,16.52196645,5.567717012,3.936265859,11.77444011
7,1,8.77460946,19.9869881,11.0429828,5.608722989,12.66883923
7,2,2.987162276,19.69457689,11.0429828,5.217210097,12.75812401
7,3,8.091964535,19.49868507,11.0429828,5.543629433,12.82150753
7,4,7.496664976,19.46229291,11.0429828,4.850893092,12.82233488
7,5,10.03942029,18.65121729,11.0429828,3.752300995,13.06897546
7,6,1.894063944,18.1155572,6.539013507,3.958029895,13.28757718
7,7,7.612968844,18.31623274,6.539013507,3.416568994,12.89862244
7,8,8.336454566,17.83399643,6.539013507,3.170268759,13.31594022
7,9,5.736694009,17.84544945,6.539013507,3.199223776,13.12263571
7,10,2.947856197,17.04462684,6.539013507,2.827451115,13.48922404
7,11,5.692685305,17.00295175,6.539013507,2.804412981,13.44363059
7,12,3.14960315,16.85027085,5,2.732465794,13.27232801
7,13,3.249615362,17.56552846,6.539013507,3.126716965,12.43592788
7,14,6.557737295,16.81874952,5,2.738891158,13.22967341
7,15,6.565474247,17.12697372,5.542433391,2.950166317,12.53037491
7,16,7.938506519,17.05862003,5.542433391,2.731088045,12.53603661
7,17,7.49504095,16.38045823,5.542433391,3.104575114,12.29398961
7,18,6.922046247,16.40854536,5.542433391,3.300092439,12.15633403
7,19,6.458686625,16.46311441,5.542433391,3.555156181,11.99402337
7,20,7.429508732,16.49799244,5.542433391,3.768283001,11.84887583
8,1,8.77460946,20.05761876,10.95996658,5.440013026,12.69112862
8,2,2.987162276,19.74970469,10.95996658,5.059165821,12.79025836
8,3,8.091964535,19.5775442,10.95996658,5.364979704,12.8364115
8,4,7.496664976,19.50221459,10.95996658,4.704036312,12.86394541
8,5,10.03942029,18.64770171,10.95996658,3.635578364,13.13814323
8,6,1.894063944,18.13379802,6.513609496,3.816757622,13.3421656
8,7,7.612968844,18.30560027,6.513609496,3.308171401,12.9672909
8,8,8.336454566,17.81466094,6.513609496,3.058830555,13.39560011
8,9,5.736694009,17.83057785,6.513609496,3.087729165,13.19590286
8,10,2.947856197,17.02313246,6.513609496,2.711441525,13.56914994
8,11,5.692685305,16.98366408,6.513609496,2.690120977,13.51766915
8,12,3.14960315,16.83809237,5,2.622434486,13.32880501
8,13,3.249615362,17.56762282,6.513609496,3.014820635,12.48465195
8,14,6.557737295,16.80637246,5,2.626268207,13.28937091
8,15,6.565474247,17.12794974,5.517052145,2.834935047,12.57925591
8,16,7.938506519,17.06341828,5.517052145,2.622547402,12.58372089
8,17,7.49504095,16.36970192,5.517052145,2.963719257,12.35418833
8,18,6.922046247,16.39362368,5.517052145,3.151492616,12.22087736
8,19,6.458686625,16.44296876,5.517052145,3.397017749,12.06384972
8,20,7.429508732,16.47330229,5.517052145,3.602006839,11.92305965
9,1,8.77460946,20.12361792,10.88203573,5.27269038,12.71368804
9,2,2.987162276,19.80091022,10.88203573,4.902551099,12.82244205
9,3,8.091964535,19.65135904,10.88203573,5.188399951,12.85153965
9,4,7.496664976,19.53892226,10.88203573,4.558592037,12.90540072
9,5,10.03942029,18.64296122,10.88203573,3.520409863,13.20653925
9,6,1.894063944,18.14966632,6.488174169,3.677911203,13.39611701
9,7,7.612968844,18.29442142,6.488174169,3.201313978,13.03510946
9,8,8.336454566,17.79479335,6.488174169,2.94944618,13.47416491
9,9,5.736694009,17.81522008,6.488174169,2.978182692,13.26816735
9,10,2.947856197,17.00126611,6.488174169,2.598096643,13.64781515
9,11,5.692685305,16.96404045,6.488174169,2.578460831,13.59049043
9,12,3.14960315,16.8256966,5,2.514950699,13.38419945
9,13,3.249615362,17.56954059,6.488174169,2.904732187,12.53265167
9,14,6.557737295,16.79378,5,2.516236894,13.34797216
9,15,6.565474247,17.128807,5.491631703,2.721848118,12.62732953
9,16,7.938506519,17.06836321,5.491631703,2.516276871,12.63050966
9,17,7.49504095,16.35869183,5.491631703,2.825278111,12.41367404
9,18,6.922046247,16.37833047,5.491631703,3.005170121,12.28480357
9,19,6.458686625,16.42228788,5.491631703,3.240979036,12.13317932
9,20,7.429508732,16.447948,5.491631703,3.437673836,11.99685346
10,1,8.77460946,20.18450844,10.80974012,5.107181374,12.73656632
10,2,2.987162276,19.84780299,10.80974012,4.747718361,12.85470147
10,3,8.091964535,19.71959548,10.80974012,5.014414651,12.86694947
10,4,7.496664976,19.5721122,10.80974012,4.414834125,12.94670591
10,5,10.03942029,18.63693514,10.80974012,3.406861392,13.27410582
10,6,1.894063944,18.16295668,6.462766053,3.541751119,13.44939905
10,7,7.612968844,18.28269794,6.462766053,3.0959971,13.10201627
10,8,8.336454566,17.77441156,6.462766053,2.84215205,13.55154895
10,9,5.736694009,17.79938619,6.462766053,2.870614059,13.3393549
10,10,2.947856197,16.97905093,6.462766053,2.487495076,13.72512616
10,11,5.692685305,16.94409973,6.462766053,2.469509396,13.66201118
10,12,3.14960315,16.81308896,5,2.410087009,13.43845834
10,13,3.249615362,17.57126514,6.462766053,2.796464958,12.57989643
10,14,6.557737295,16.78097849,5,2.408872579,13.40541792
10,15,6.565474247,17.12952985,5.466230494,2.610944613,12.67455995
10,16,7.938506519,17.07343922,5.466230494,2.412284687,12.67638032
10,17,7.49504095,16.34744376,5.466230494,2.689399022,12.47236152
10,18,6.922046247,16.36269261,5.466230494,2.861298671,12.34801134
10,19,6.458686625,16.40111169,5.466230494,3.087248064,12.20189093
10,20,7.429508732,16.42198156,5.466230494,3.275520451,12.0701192
11,1,8.77460946,20.2398132,10.74362966,4.943912331,12.75981228
11,2,2.987162276,19.88999256,10.74362966,4.595020037,12.88706299
11,3,8.091964535,19.78171941,10.74362966,4.843548283,12.88269844
11,4,7.496664976,19.60148063,10.74362966,4.273036431,12.98786608
11,5,10.03942029,18.62956278,10.74362966,3.294998849,13.34078526
11,6,1.894063944,18.17346368,6.437443673,3.408537856,13.50197936
11,7,7.612968844,18.27043156,6.437443673,2.99222114,13.16794946
11,8,8.336454566,17.75353349,6.437443673,2.736984583,13.62766654
11,9,5.736694009,17.78308619,6.437443673,2.765052964,13.40939122
11,10,2.947856197,16.95651007,6.437443673,2.379715435,13.80098945
11,11,5.692685305,16.9238608,6.437443673,2.363343527,13.73214813
11,12,3.14960315,16.80027488,5,2.307915988,13.4915287
11,13,3.249615362,17.57277984,6.437443673,2.690032286,12.62635563
11,14,6.557737295,16.7679743,5,2.304250616,13.46164895
11,15,6.565474247,17.13010263,5.440906947,2.502263613,12.72091133
11,16,7.938506519,17.07863071,5.440906947,2.310579086,12.72131028
11,17,7.49504095,16.3359735,5.440906947,2.556229337,12.53016553
11,18,6.922046247,16.346737,5.440906947,2.720051984,12.41039931
